name,url
Інженерно-хiмiчний факультет,https://kpi.ua/ixf
Приладобудiвний факультет,https://kpi.ua/pbf
Радiотехнiчний факультет,https://kpi.ua/rtf
Факультет біомедичної інженерії,https://kpi.ua/fbmi
Факультет бiотехнологiї i бiотехнiки,https://kpi.ua/fbt
Факультет електроенерготехнiки та автоматики,https://kpi.ua/fea
Факультет електронiки,https://kpi.ua/fel
Факультет iнформатики та обчислювальної технiки,https://kpi.ua/fiot
Факультет лiнгвiстики,https://kpi.ua/fl
Факультет менеджменту та маркетингу,https://kpi.ua/fmm
Факультет соціології і права,https://kpi.ua/fsp
Факультет прикладної математики,https://kpi.ua/fpm
Фiзико-математичний факультет,https://kpi.ua/fmf
Хiмiко-технологiчний факультет,https://kpi.ua/xtf
- кафедра загальної та неорганічної хімії,https://kpi.ua/kznh
- кафедра органічної хімії та технології органічних речовин,https://kpi.ua/orgchem
- кафедра технології електрохімічних виробництв,https://kpi.ua/electrochemistry
- кафедра акустичних та мультимедійних електронних систем ,https://kpi.ua/acoustic
- кафедра електронних пристроїв та систем,https://kpi.ua/eds-fel
- кафедра конструювання електронно-обчислювальної апаратури,https://kpi.ua/keoa
- Кафедра технічних та програмних засобів автоматизації,https://kpi.ua/ahv
- Кафедра екології та технології рослинних полімерів,https://kpi.ua/eco-paper
- Кафедра машин та апаратів хімічних і нафтопереробних виробництв,https://kpi.ua/maxnv
Засідання кафедри ЕПС №19 (2023-2024),
КПІАбітTalks з Віталієм Цапарем про ІХФ 06.03.2024,
Засідання кафедри ЕПС №18 (2023-2024),
Засідання кафедри ЕПС №17 (2023-2024),
15 лютого 2024 р. у залі Вченої ради КПІ ім. Ігоря Сікорського урочисто вручено дипломи магістрів випускникам факультету електроніки,
Акредитація освітньої програми першого (бакалаврського) рівня вищої освіти «Електронні компоненти і системи»,
Засідання кафедри ЕПС №16 (2023-2024),
До уваги студентів!,
Розподіл додаткових балів за 1 семестр 2023/24 навчального року з результатами апеліції включно,
До уваги студентів!,
ЗАСІДАННЯ  ЕКЗАМЕНАЦІЙНОЇ КОМІСІЇ № 17.6 (3-й день),
День відкритих дверей ІХФ 23.02.2024,
Вебінар Schneider Electric,
День відкритих дверей 23.02.2024,
Вебінар “HARTU webinar – How to pick (almost) anything: soft-grippers revolution,
Підтвердження диплому Корінчук Катерини,
Анонс інтерв’ю із Музикою Світланою,
Інформація про очне навчання на весну 2023/2024,
Вітаємо переможців програми підтримки студентських науково-технічних проєктів,
Міжнародний проект MASTERLY,
