name,url
Інженерно-хiмiчний факультет,https://kpi.ua/ixf
Приладобудiвний факультет,https://kpi.ua/pbf
Радiотехнiчний факультет,https://kpi.ua/rtf
Факультет біомедичної інженерії,https://kpi.ua/fbmi
Факультет бiотехнологiї i бiотехнiки,https://kpi.ua/fbt
Факультет електроенерготехнiки та автоматики,https://kpi.ua/fea
Факультет електронiки,https://kpi.ua/fel
Факультет iнформатики та обчислювальної технiки,https://kpi.ua/fiot
Факультет лiнгвiстики,https://kpi.ua/fl
Факультет менеджменту та маркетингу,https://kpi.ua/fmm
Факультет соціології і права,https://kpi.ua/fsp
Факультет прикладної математики,https://kpi.ua/fpm
Фiзико-математичний факультет,https://kpi.ua/fmf
Хiмiко-технологiчний факультет,https://kpi.ua/xtf
Кафедра інформатики та програмної інженерії,https://kpi.ua/ipi
Кафедра інформаційних систем та технологій,https://kpi.ua/ist-fiot
Кафедра обчислювальної технiки,https://kpi.ua/comsys
кафедра економіки та підприємництва,https://kpi.ua/keip
кафедра економічної кібернетики,https://kpi.ua/ecocyber
кафедра менеджменту підприємств,https://kpi.ua/kmfmm
ЗУ-Каталог-2024 вибіркових навчальних дисциплін,
Матеріали V Міжнародної науково-практичної конференції молодих вчених та студентів «Інженерія програмного забезпечення і передові інформаційні технології (SoftTech-2023)» присвяченої 125-й річниці КПІ ім. Ігоря Сікорського,
Екзаменаційні комісії в червні 2024 р.,
Вебінар “Дослідницькі дані: право на конфіденційність”,
Про проведення Всеукраїнської відкритої студентської інтернет-олімпіади з англійської мови та фізики для студентів усіх немовних спеціальностей 1-3 курсів бакалаврату,
"Каталог вибіркових дисциплін для PhD, аспірантам 2023 року вступу",
Каталог вибіркових дисциплін для бакалаврів на 24/25 навчальний рік,
Каталог вибіркових дисциплін для PhD!,
Каталог вибіркових дисциплін для бакалаврів!,
Викладач очима студентів,
"кафедра інформаційного, господарського та адміністративного права",https://kpi.ua/kigap
кафедра інтелектуальної власності та приватного права,https://kpi.ua/ivpp
кафедра історiї,https://kpi.ua/kifsp
"
",
"
",
"
",
"
",
"
",
"
",
"
",
Переможці І етапу Всеукраїнської студентської олімпіади зі спеціальності «Менеджмент»,
Конференція трудового колективу ФММ,
І етап Всеукраїнської студентської олімпіади зі спеціальності «Менеджмент»,
День відкритих дверей ФММ – 24.02,
Вітаємо випускників магістратури 2024!!!,
Випуск магістрів – 2024,
Студенти ФММ отримали стипендії Верховної Ради України,
ФММ: особливості освітнього процесу на ІІ семестр,
Семінар для аспірантів та їх керівників,
СИЛАБУСИ – БАКАЛАВРИ – 2022 – 2023 РІК НАВЧАННЯ,
Лекція від фахівців з НАЗК: запрошуємо усіх долучатись!,
Обговорення ОПП 053 «Психологія»,
Дорогі КПІшниці!,
З Міжнародним днем,
Відбувся воркшоп на тему: «Інтеграція цифрових рішень у систему соціального захисту»,
Обговорення ОПП першого  рівня вищої освіти спеціальності 053«Психологія» зі здобувачами другого курсу,
Семінар гарантів третього рівня вищої освіти,
Запрошення до участі у міжнародній Програмі Ulam NAWA,
Круглий стіл,
Новини з життя кафедри,
